ID|Cargo_Padrao|CBO_Ref|Aliases|Familia|Senioridade|Descricao|Responsabilidades|Requisitos|NRs_Recomendadas|Faixa_CLT_BR_Mensal|Variacao_Regional|Keywords
CC-OP-011|Vidraceiro de Obras|7163-10|Instalador de vidros; Vidraceiro predial|Operacional de Obra|Operacional III|Instala vidros, esquadrias simples, espelhos, guarda-corpos e componentes envidraçados.|Medir vãos; cortar ou ajustar peças; instalar vidros; aplicar silicone; conferir vedação.|Experiência com vidros; atenção a segurança e manuseio.|NR-18; NR-06; NR-35 quando aplicável|P25=R$2.100; P50=R$2.450; P75=R$3.000; P90=R$3.600|Fachadas, pele de vidro e altura +25% a +60%|vidraceiro; vidro; esquadria; fachada
CC-OP-012|Encanador / Bombeiro Hidráulico|7241-10|Instalador hidráulico; Bombeiro hidráulico|Instalações|Operacional III|Executa instalações hidráulicas, sanitárias, pluviais e testes de estanqueidade.|Instalar tubulações; ler projetos; testar redes; reparar vazamentos; instalar louças e metais.|Experiência hidráulica; leitura básica de projeto; conhecimento de materiais.|NR-18; NR-06; NR-35 quando aplicável|P25=R$2.300; P50=R$2.750; P75=R$3.300; P90=R$4.000|Hospitalar, industrial e predial técnico +20% a +45%|hidráulica; encanador; tubulação; instalações
CC-OP-013|Eletricista de Instalações Prediais|7156-10|Eletricista de obra; Eletricista predial|Instalações|Operacional III|Executa infraestrutura elétrica, passagem de cabos, montagem de quadros e testes básicos.|Instalar eletrodutos; passar cabos; montar tomadas; apoiar quadros; testar circuitos.|Curso de elétrica; experiência predial; NR-10 obrigatória para atividade elétrica.|NR-10; NR-18; NR-06; NR-35 quando aplicável|P25=R$2.300; P50=R$2.650; P75=R$3.100; P90=R$3.800|Data center, hospitalar e industrial +25% a +60%|eletricista; elétrica; instalações; NR10
CC-OP-014|Operador de Betoneira|7154-05|Betoneirista; Operador de misturador|Operacional de Obra|Operacional II|Opera betoneira para preparo de concreto e argamassa conforme traço definido.|Operar equipamento; dosar materiais; limpar betoneira; apoiar concretagem; cumprir segurança.|Experiência com betoneira; noções de traço e manutenção básica.|NR-18; NR-06|P25=R$2.100; P50=R$2.400; P75=R$2.800; P90=R$3.200|Grandes obras e turnos +10% a +30%|betoneira; concreto; argamassa; operador
CC-OP-015|Operador de Bomba de Concreto|7154-10|Bombista; Operador de bomba lança|Operacional de Obra|Operacional III|Opera bomba de concreto, controlando lançamento, pressão, mangotes e segurança da concretagem.|Operar bomba; orientar lançamento; limpar linha; controlar pressão; apoiar equipe de concretagem.|Experiência com concreto bombeado; treinamento no equipamento.|NR-18; NR-06|P25=R$2.300; P50=R$2.550; P75=R$3.000; P90=R$3.500|Alta verticalização e industrial +15% a +40%|bomba de concreto; concretagem; bombista
CC-OP-016|Operador de Escavadeira|7151-15|Escavadeirista; Operador de máquina pesada|Máquinas e Equipamentos|Operacional III|Opera escavadeira em terraplenagem, escavações, carregamento e movimentação de solo.|Escavar; nivelar; carregar caminhões; zelar por equipamento; seguir sinalização.|CNH conforme exigência; experiência com máquina pesada; treinamento operacional.|NR-18; NR-11; NR-12; NR-06|P25=R$2.800; P50=R$3.200; P75=R$3.800; P90=R$4.500|Infraestrutura, mineração e turno +20% a +50%|escavadeira; máquina pesada; terraplenagem
CC-OP-017|Operador de Guindaste|7821-10/7821-15|Guindasteiro; Operador de guindaste móvel|Máquinas e Equipamentos|Operacional Especialista|Opera guindastes fixos ou móveis para içamento e movimentação de cargas.|Operar guindaste; verificar patolas; seguir plano de rigging; comunicar-se com sinaleiro.|Certificação/treinamento; experiência com içamento; atenção rigorosa à segurança.|NR-11; NR-12; NR-18; NR-35 quando aplicável|P25=R$3.000; P50=R$3.500; P75=R$4.200; P90=R$5.500|Industrial, energia e data center +25% a +70%|guindaste; içamento; rigging; carga
CC-OP-018|Operador de Grua|3742-10 ref. mercado|Gruísta; Operador de grua torre|Máquinas e Equipamentos|Operacional Especialista|Opera grua para transporte vertical e horizontal de materiais em obras verticais.|Operar grua; içar cargas; seguir sinalização; inspecionar equipamento; registrar ocorrências.|Treinamento específico; experiência em obras verticais; aptidão para altura.|NR-18; NR-11; NR-12; NR-35|P25=R$2.500; P50=R$3.250; P75=R$4.000; P90=R$5.500|Obras verticais de grande porte +20% a +60%|grua; gruista; içamento; obra vertical
CC-OP-019|Sinaleiro / Amarrador de Cargas|7821-45 ref.|Rigger operacional; Sinaleiro de içamento|Operacional de Obra|Operacional III|Sinaliza, orienta e auxilia operações de içamento e movimentação de cargas.|Amarrar cargas; sinalizar manobras; conferir acessórios; isolar área; apoiar içamentos.|Treinamento em movimentação de cargas; comunicação clara; experiência em canteiro.|NR-18; NR-11; NR-06|P25=R$2.200; P50=R$2.700; P75=R$3.300; P90=R$4.200|Obras industriais e içamentos críticos +25% a +60%|sinaleiro; rigger; içamento; carga
CC-OP-020|Motorista de Caminhão Basculante|7825-10|Motorista caçamba; Motorista de obra|Logística de Obra|Operacional II|Conduz caminhão basculante para transporte de terra, entulho, agregados e materiais de obra.|Transportar materiais; operar basculamento; cumprir rotas; verificar veículo; apoiar logística.|CNH categoria adequada; experiência com caminhão; atenção a segurança.|NR-18; NR-11; NR-06|P25=R$2.300; P50=R$2.700; P75=R$3.200; P90=R$4.000|Infraestrutura e turnos +15% a +35%|motorista; basculante; caçamba; logística
CC-OP-021|Impermeabilizador|7157-05|Aplicador de manta; Aplicador de asfalto impermeabilizante|Operacional de Obra|Operacional III|Executa sistemas de impermeabilização em lajes, fundações, áreas molhadas e coberturas.|Preparar superfície; aplicar primer; instalar manta; testar estanqueidade; reparar falhas.|Experiência com manta, emulsão ou argamassa polimérica; cuidado com calor/químicos.|NR-18; NR-06; NR-35 quando aplicável|P25=R$2.000; P50=R$2.350; P75=R$2.900; P90=R$3.500|Coberturas, subsolos e obras técnicas +15% a +40%|impermeabilização; manta; laje; estanqueidade
CC-OP-022|Serralheiro de Obras|7244-40|Serralheiro; Montador de esquadrias metálicas|Estruturas Metálicas|Operacional III|Fabrica, ajusta e instala elementos metálicos, grades, suportes, portões e esquadrias.|Cortar; soldar; montar; instalar peças metálicas; realizar ajustes em campo.|Experiência com metalurgia leve; leitura de medidas; uso de ferramentas.|NR-18; NR-06; NR-12|P25=R$2.100; P50=R$2.400; P75=R$3.000; P90=R$3.600|Estruturas especiais +15% a +35%|serralheiro; metal; esquadria; solda
CC-OP-023|Soldador|7243-15|Soldador de obra; Soldador industrial|Estruturas Metálicas|Operacional Especialista|Executa soldagens em estruturas, suportes, tubulações e componentes metálicos.|Soldar peças; preparar chanfros; regular máquina; inspecionar cordões; cumprir procedimentos.|Curso ou certificação desejável; experiência MIG/MAG, eletrodo ou TIG conforme obra.|NR-18; NR-06; NR-12; NR-35 quando aplicável|P25=R$2.800; P50=R$3.300; P75=R$4.100; P90=R$5.500|Industrial, tubulação e solda qualificada +30% a +80%|soldador; solda; estrutura metálica; caldeiraria
CC-OP-024|Montador de Estruturas Metálicas|7242-05|Montador metálico; Montador industrial|Estruturas Metálicas|Operacional III|Monta estruturas metálicas em campo, seguindo projeto, sequência executiva e normas de segurança.|Montar perfis; parafusar; alinhar estruturas; apoiar içamento; conferir prumo e nível.|Experiência com montagem metálica; aptidão para altura; leitura básica de desenho.|NR-18; NR-35; NR-11; NR-06|P25=R$2.200; P50=R$2.600; P75=R$3.200; P90=R$4.200|Galpões, data centers e industrial +25% a +60%|estrutura metálica; montagem; galpão; altura
CC-OP-025|Almoxarife de Obras|4141-05|Almoxarife; Estoquista de obra|Apoio de Obra|Administrativo Operacional|Controla recebimento, estoque, entrega e inventário de materiais, ferramentas e EPIs no canteiro.|Receber materiais; lançar estoque; controlar EPIs; organizar almoxarifado; apoiar compras.|Ensino médio; pacote Office básico; organização; experiência em obra desejável.|NR-18; NR-06|P25=R$2.000; P50=R$2.400; P75=R$2.800; P90=R$3.300|Obras grandes e ERP +10% a +30%|almoxarife; estoque; materiais; EPI
CC-OP-026|Apontador de Obras|4142-05|Apontador de mão de obra; Controlador de produção|Apoio de Obra|Administrativo Operacional|Registra presença, produção, equipamentos, medições simples e informações de campo.|Apontar equipes; registrar horas; acompanhar produção; apoiar medições; gerar relatórios.|Ensino médio; Excel básico; vivência em canteiro.|NR-18; NR-06|P25=R$2.000; P50=R$2.350; P75=R$2.800; P90=R$3.300|Obras com controle produtivo forte +10% a +30%|apontador; produção; mão de obra; medição
CC-OP-027|Vigia de Obra / Controlador de Acesso|5174-20|Porteiro de obra; Controlador de acesso|Apoio de Obra|Operacional I|Controla entrada e saída de pessoas, veículos, materiais e fornecedores no canteiro.|Registrar acessos; orientar visitantes; controlar portão; comunicar ocorrências; apoiar segurança patrimonial.|Ensino fundamental/médio; atenção; disponibilidade de escala.|NR-18; NR-06|P25=R$1.650; P50=R$1.900; P75=R$2.200; P90=R$2.600|Escalas noturnas e adicionais elevam remuneração|vigia; portaria; acesso; canteiro
CC-OP-028|Mestre de Obras|7102-05 ref.|Mestre; Supervisor de obra|Liderança de Campo|Gestão Operacional|Coordena frentes de serviço, equipes próprias e terceiros, garantindo produtividade, qualidade, prazo e segurança.|Distribuir tarefas; orientar oficiais; controlar execução; apoiar planejamento; reportar desvios.|Experiência sólida em obras; leitura de projetos; liderança de equipes.|NR-18; NR-06; NR-35 quando aplicável|P25=R$3.800; P50=R$4.500; P75=R$6.000; P90=R$8.500|Alto padrão, industrial e data center +30% a +80%|mestre de obras; liderança; campo; execução
CC-OP-029|Encarregado de Obras|7102-05 ref.|Encarregado civil; Encarregado de produção|Liderança de Campo|Supervisão Operacional|Supervisiona equipes e frentes específicas, garantindo execução conforme projeto, cronograma e padrões de segurança.|Acompanhar produção; liderar equipes; conferir qualidade; controlar materiais; reportar avanço.|Experiência como oficial sênior ou encarregado; liderança; leitura básica de projeto.|NR-18; NR-06; NR-35 quando aplicável|P25=R$3.500; P50=R$4.300; P75=R$5.500; P90=R$7.500|Obras técnicas e múltiplas frentes +25% a +60%|encarregado; produção; liderança; obra
CC-OP-030|Técnico de Segurança do Trabalho de Obra|3516-05|TST de obra; Técnico de SST|Segurança do Trabalho|Técnico|Atua na prevenção de acidentes, inspeções de campo, treinamentos, documentação legal e suporte ao PGR da obra.|Inspecionar frentes; aplicar DDS; controlar EPIs; investigar incidentes; apoiar PGR; liberar atividades críticas.|Curso técnico em Segurança do Trabalho; registro profissional; experiência em canteiro.|NR-18; NR-35; NR-10 quando aplicável; NR-06|P25=R$3.000; P50=R$3.900; P75=R$5.200; P90=R$6.800|Industrial, energia, hospitalar e data center +25% a +70%|segurança do trabalho; SST; PGR; obra
